Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Ram_GB,Memory,Gpu,OpSys,Weight_kg,CPU_GHz,ScreenWidth_px,ScreenHeight_px,Touchscreen,IPS,CPU_Brand,GPU_Brand,Price
HP,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,4.0,500GB HDD,AMD Radeon 520,Windows 10,1.86,2.0,1366,768,0,0,Intel,AMD,23373.4032
HP,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,4.0,32GB SSD,Intel HD Graphics 400,Windows 10,1.44,1.6,1366,768,0,0,Intel,Intel,12201.12
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,4.0,1TB HDD,Intel HD Graphics 620,Windows 10,1.9,2.5,1920,1080,0,0,Intel,Intel,29250.72
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12GB,12.0,1TB HDD,Nvidia GeForce GTX 1050 Ti,Linux,3.0,2.8,1920,1080,0,0,Intel,Nvidia,50562.72
Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,4GB,4.0,128GB SSD,Intel HD Graphics 620,Windows 10 S,1.252,2.5,2256,1504,1,0,Intel,Intel,58021.92
Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,64GB,64.0,256GB SSD,AMD Radeon 530,Windows 10,1.4,1.8,1920,1080,0,1,Intel,AMD,50882.4
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,8.0,256GB SSD,AMD Radeon 530,Windows 10,2.2,1.8,1920,1080,0,0,Intel,AMD,46353.6
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,8.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.7,2.5,1920,1080,0,0,Intel,Nvidia,58341.6
Acer,Notebook,14.0,1366x768,Intel Core i3 6006U 2GHz,8GB,8.0,1TB HDD,Intel HD Graphics 520,Windows 10,2.1,2.0,1366,768,0,0,Intel,Intel,20725.92
Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,8.0,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.2,2.8,1920,1080,0,0,Intel,Nvidia,50562.72
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,8.0,2TB HDD,Intel HD Graphics 620,No OS,2.2,2.5,1920,1080,0,0,Intel,Intel,27652.32
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,8.0,128GB SSD +  1TB HDD,Intel UHD Graphics 620,Windows 10,2.02,1.8,1920,1080,0,0,Intel,Intel,45554.4
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,4.0,1TB HDD,Nvidia GeForce MX130,Windows 10,2.2,2.7,1920,1080,0,0,Intel,Nvidia,28238.4
HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,8.0,128GB SSD +  1TB HDD,Nvidia GeForce 930MX,Windows 10,2.5,1.6,1920,1080,0,0,Intel,Nvidia,52054.56
Dell,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,8.0,256GB SSD,Intel UHD Graphics 620,Windows 10,1.88,1.6,1920,1080,0,1,Intel,Intel,58403.4048
Apple,Ultrabook,12.0,IPS Panel Retina Display 2304x1440,Intel Core i5 1.3GHz,8GB,8.0,512GB SSD,Intel HD Graphics 615,macOS,0.92,1.3,2304,1440,0,1,Intel,Intel,80452.8
HP,Notebook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.63,1.6,1920,1080,0,0,Intel,Intel,45820.8
Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,4.0,128GB SSD,AMD R4 Graphics,Windows 10,2.2,2.5,1920,1080,0,0,AMD,AMD,21258.72
Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,4.0,1TB HDD,AMD Radeon R5,Windows 10,2.1,3.0,1366,768,0,0,AMD,AMD,21045.6
Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,16.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.65,2.8,1920,1080,0,1,Intel,Nvidia,71874.72
HP,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,8.0,256GB SSD,Nvidia GeForce GTX 940MX,Windows 10,1.83,1.8,1920,1080,0,1,Intel,Nvidia,37242.72
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.96,2.5,1920,1080,0,0,Intel,Intel,31914.1872
Asus,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,16.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.2,2.8,1920,1080,0,1,Intel,Nvidia,77202.72
Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,8.0,256GB SSD,Intel UHD Graphics 620,Windows 10,1.21,1.8,1920,1080,0,1,Intel,Intel,87858.72
Asus,Gaming,15.6,Full HD 1920x1080,AMD FX 9830P 3GHz,8GB,8.0,1TB HDD,AMD Radeon RX 560,Windows 10,2.45,3.0,1920,1080,0,0,AMD,AMD,37242.72
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,2GB,2.0,1TB HDD,Nvidia GeForce MX150,Windows 10,2.2,1.8,1920,1080,0,0,Intel,Nvidia,36709.92
HP,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,16.0,512GB SSD,Intel UHD Graphics 620,Windows 10,1.49,1.8,1920,1080,0,0,Intel,Intel,63776.16
Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,8.0,256GB SSD,Nvidia GeForce GTX 1060,Windows 10,2.65,2.5,1920,1080,0,0,Intel,Nvidia,63669.6
Asus,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.25,2.7,1920,1080,0,0,Intel,Intel,55890.72
Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,8.0,256GB SSD,Intel UHD Graphics 620,Windows 10,1.5,1.6,1920,1080,1,1,Intel,Intel,45128.16
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,8.0,1TB HDD,AMD Radeon R5 M430,Linux,2.2,2.7,1920,1080,0,0,Intel,AMD,31962.672
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,4.0,256GB SSD,AMD Radeon R5 M430,Linux,2.2,2.0,1920,1080,0,0,Intel,AMD,25840.8
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,6GB,6.0,256GB SSD,Nvidia GeForce 920M,Windows 10,2.0,2.4,1920,1080,0,0,Intel,Nvidia,30742.56
HP,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12GB,12.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.62,2.8,1920,1080,0,1,Intel,Nvidia,66546.72
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,8.0,256GB SSD,AMD Radeon 530,Windows 10,1.91,2.7,1920,1080,0,0,Intel,AMD,38308.32
HP,Notebook,15.6,Full HD 1920x1080,AMD E-Series E2-9000e 1.5GHz,4GB,4.0,500GB HDD,AMD Radeon R2,Windows 10,2.1,1.5,1920,1080,0,0,AMD,AMD,18594.72
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,8.0,1TB HDD,AMD Radeon 520,Linux,2.2,1.6,1920,1080,0,0,Intel,AMD,34472.16
HP,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,8.0,256GB SSD,Nvidia GeForce MX150,Windows 10,1.38,2.7,1920,1080,0,1,Intel,Nvidia,59620.32
Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,8GB,8.0,256GB SSD,Intel HD Graphics 620,Windows 10 S,1.252,2.5,2256,1504,1,0,Intel,Intel,71395.2
HP,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6GB,6.0,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.58,2.5,1920,1080,0,1,Intel,Nvidia,35111.52
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,4.0,1TB HDD,Intel HD Graphics 520,Windows 10,1.85,2.0,1920,1080,0,0,Intel,Intel,22105.872
Asus,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,8.0,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.3,2.7,1920,1080,0,1,Intel,Nvidia,63563.04
MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,16.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.2,2.8,1920,1080,0,0,Intel,Nvidia,69210.72
Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.58,2.7,1920,1080,0,1,Intel,Intel,78854.4
Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,16.0,256GB SSD +  1TB HDD,Nvidia GeForce MX150,Windows 10,1.5,1.8,1920,1080,0,0,Intel,Nvidia,67239.36
Dell,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7560U 2.4GHz,8GB,8.0,256GB SSD,Intel Iris Plus Graphics 640,Windows 10,1.23,2.4,3200,1800,1,0,Intel,Intel,73473.12
Lenovo,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.37,2.5,1920,1080,1,1,Intel,Intel,74538.72
HP,Notebook,14.0,IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,4GB,4.0,500GB HDD,Intel UHD Graphics 620,Windows 10,1.63,1.6,1366,768,0,1,Intel,Intel,38468.16
Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,8.0,256GB SSD,Intel UHD Graphics 620,Windows 10,1.21,1.6,1920,1080,0,1,Intel,Intel,86793.12
HP,Notebook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,8.0,512GB SSD,Intel UHD Graphics 620,Windows 10,1.63,1.8,1920,1080,0,0,Intel,Intel,57755.52
Dell,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,8.0,256GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows 10,2.16,1.8,1920,1080,0,1,Intel,Nvidia,60223.9824
Asus,Notebook,17.3,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,4.0,1TB HDD,Nvidia GeForce 920MX,Windows 10,2.0,2.0,1920,1080,0,0,Intel,Nvidia,30049.92
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,8.0,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.7,1.8,1920,1080,0,0,Intel,Nvidia,59567.04
Acer,Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,6GB,6.0,1TB HDD,Intel HD Graphics 620,Windows 10,2.1,2.4,1920,1080,1,1,Intel,Intel,25521.12
MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,16.0,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,Windows 10,1.8,2.8,1920,1080,0,0,Intel,Nvidia,119427.12
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,8.0,256GB SSD,Nvidia GeForce 940MX,No OS,2.2,2.5,1920,1080,0,0,Intel,Nvidia,33513.12
HP,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,16.0,512GB SSD,Nvidia GeForce 930MX ,Windows 10,2.5,1.8,1920,1080,0,0,Intel,Nvidia,67718.88
Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,4.0,256GB SSD,AMD Radeon R5,Windows 10,2.1,3.0,1366,768,0,0,AMD,AMD,24029.28
HP,Notebook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,8.0,1TB HDD,Intel UHD Graphics 620,Windows 10,1.63,1.6,1920,1080,0,0,Intel,Intel,43263.36
Asus,Notebook,14.0,1366x768,AMD E-Series 6110 1.5GHz,4GB,4.0,64GB SSD,AMD Radeon R2,Windows 10 S,1.65,1.5,1366,768,0,0,AMD,AMD,14811.3072
